Marketing_Airline_Network,Origin,Dest,CRSDepTime,DepDelayMinutes,ArrDelayMinutes,CRSElapsedTime,Distance
UA,MAF,IAH,1710,0,0,95,429
UA,IAH,JAX,945,0,0,135,817
UA,IAH,ELP,1635,5,0,127,667
UA,BNA,IAD,844,0,0,104,542
UA,IAH,SAV,1225,0,2,136,851
UA,SLC,IAH,1128,0,0,192,1195
UA,IAH,OKC,1805,0,0,97,395
UA,IAH,DFW,957,0,0,86,224
UA,IAH,HRL,1620,0,0,80,295
UA,MSY,IAH,1210,6,0,90,305
UA,SAT,IAH,1940,0,0,70,191
UA,IAH,MSY,945,15,22,78,305
UA,IAH,ELP,1420,0,0,128,667
UA,SAT,IAH,1430,0,0,70,191
UA,SAT,IAH,1225,0,0,70,191
UA,PHX,IAH,944,0,0,162,1009
UA,MSY,IAH,1859,0,0,89,305
UA,IAH,ELP,1940,0,0,128,667
UA,IAH,DFW,1213,0,0,86,224
UA,IAH,SLC,800,2,0,211,1195
UA,LGA,IAH,2000,0,0,271,1416
UA,IAH,SAT,1005,0,23,71,191
UA,IAH,SAT,1640,0,0,71,191
UA,IAH,SDF,1155,0,2,134,788
UA,LGA,IAH,1515,0,0,270,1416
UA,IAH,OKC,935,0,0,96,395
UA,IAH,BNA,745,0,0,123,657
UA,ORF,IAD,1450,28,68,73,157
UA,IAD,ORF,1246,2,54,66,157
UA,IAH,MSY,1635,0,0,78,305
UA,IAH,LGA,945,0,0,215,1416
UA,JAX,IAD,925,17,28,113,630
UA,IAH,SAT,1215,0,4,71,191
UA,TUL,IAH,700,0,0,109,429
UA,IAH,AUS,955,0,13,65,140
UA,IAH,ECP,1420,0,0,107,572
UA,AUS,IAH,1425,0,0,68,140
UA,IAH,AUS,1215,0,0,65,140
UA,CRP,IAH,1615,0,0,70,201
UA,IAH,ATL,2005,8,0,131,689
UA,IAH,BHM,1422,0,0,107,562
UA,IAH,TUL,1828,1,0,98,429
UA,DFW,IAH,500,0,0,80,224
UA,SDF,IAH,707,0,0,163,788
UA,CRP,IAH,701,72,58,72,201
UA,IAH,LGA,1159,0,15,211,1416
UA,TUL,DEN,1655,0,10,115,541
UA,MFE,IAH,1415,0,0,80,316
UA,ICT,DEN,1410,18,3,105,420
UA,IAD,JAX,1745,2,0,137,630
UA,GJT,DEN,1134,0,0,84,212
UA,ELP,DEN,645,0,0,128,563
UA,DEN,TUL,1330,0,0,103,541
UA,IAH,MEM,1435,36,22,99,468
UA,IAD,BNA,1245,3,27,127,542
UA,DEN,ICT,2040,0,0,89,420
UA,IAH,TUL,1240,0,0,98,429
UA,TUL,DEN,550,0,0,131,541
UA,DEN,ICT,1345,3,0,88,420
UA,DFW,IAH,1215,0,0,78,224
UA,SAV,IAH,900,0,0,168,851
UA,DEN,ICT,1057,20,9,92,420
UA,DEN,GJT,940,0,0,73,212
UA,DEN,ELP,2020,97,79,117,563
UA,IAD,BUF,1724,0,0,88,283
UA,PVD,IAD,1440,2,10,103,371
UA,IAH,SAV,1830,0,0,134,851
UA,SRQ,IAH,1705,0,0,174,796
UA,MEM,IAH,1153,48,33,115,468
UA,ECP,IAH,1651,0,0,126,572
UA,IAD,PVD,1230,0,0,89,371
UA,DEN,BIL,1541,34,23,98,455
UA,IAH,ECP,1818,0,0,105,572
UA,IAH,MCI,952,0,0,126,643
UA,PHX,DEN,1251,0,0,122,602
UA,CLT,IAH,1645,0,0,186,912
UA,SAV,IAH,1654,0,0,170,851
UA,DEN,BZN,800,3,0,120,524
UA,BIL,DEN,1803,0,2,96,455
UA,PHX,IAH,1130,0,0,163,1009
UA,SAT,IAH,515,0,0,70,191
UA,ICT,IAH,645,67,42,122,542
UA,DFW,IAH,1545,0,0,80,224
UA,IAH,OKC,2135,0,0,97,395
UA,MSY,IAH,1712,0,0,89,305
UA,OKC,DEN,940,0,0,115,495
UA,MSP,IAH,1552,0,0,188,1034
UA,MFE,IAH,515,0,0,81,316
UA,MKE,IAH,802,2,0,187,984
UA,IAH,PHX,1840,0,0,185,1009
UA,MCI,IAH,845,0,0,146,643
UA,MKE,IAH,1540,0,0,187,984
UA,IAH,MEM,930,0,0,101,468
UA,IAH,SDF,1620,21,37,135,788
UA,ICT,DEN,1705,0,0,105,420
UA,IAH,ICT,2005,0,0,114,542
UA,ORF,IAD,2005,0,0,72,157
UA,IAD,ORF,1740,11,0,66,157
UA,IAH,GUC,930,0,0,177,886
UA,DEN,TUL,2050,0,0,111,541
UA,IAH,PHX,1620,0,0,184,1009
UA,ICT,DEN,905,2,20,117,420
UA,IAH,BHM,1005,0,11,107,562
UA,IAH,OKC,720,0,0,96,395
UA,IAH,SAT,2025,38,33,71,191
UA,OKC,IAH,1158,7,0,96,395
UA,IAH,MSP,1155,0,0,175,1034
UA,ECP,IAH,635,0,1,124,572
UA,IAD,MCI,1810,0,0,184,926
UA,GUC,IAH,1208,0,0,156,886
UA,IAH,MSY,1435,7,0,78,305
UA,ELP,IAH,815,0,0,118,667
UA,IAH,CHS,1826,0,6,148,925
UA,IAD,IAH,1250,9,18,228,1190
UA,ELP,IAH,550,0,2,120,667
UA,ATL,IAH,1200,0,0,150,689
UA,IAH,DFW,1940,0,0,82,224
UA,IAH,DCA,945,4,11,181,1208
UA,IAH,BTR,1805,32,20,73,253
UA,CLT,IAH,1135,0,0,185,912
UA,IAH,DSM,1155,0,0,145,802
UA,IAH,BHM,1817,79,65,106,562
UA,TUL,IAH,1531,0,0,104,429
UA,IAH,IAD,740,0,0,185,1190
UA,IAH,MKE,1205,0,0,161,984
